58517.93142	11.11838544	0.828758521
58517.95226	11.1256031	0.842717353
58517.97309	11.12977237	0.856669486
58517.99392	11.13321731	0.870621619
58518.01476	11.14156513	0.88458045
58518.03559	11.14509177	0.898532584
58518.09809	11.2316202	0.940395682
58518.11892	11.31604655	0.954347815
58518.13976	11.41682794	0.968306646
58518.16059	11.49000701	0.982258779
58518.18142	11.49983343	0.996210913
58518.20226	11.49951309	1.010169744
58518.24393	11.36977939	1.038080709
58518.26476	11.27576487	1.052032842
58518.28559	11.19756444	1.065984975
58518.30643	11.15718655	1.079943807
58518.32726	11.14435473	1.09389594
58518.34809	11.13975682	1.107848073
58518.36893	11.13532006	1.121806904
58518.38976	11.1294903	1.135759038
58518.45226	11.11463402	1.177622136
58518.4731	11.10980842	1.191580967
58518.51476	11.1038594	1.219485233
58518.5356	11.10109783	1.233444065
58518.57726	11.09966163	1.261348331
58518.5981	11.10080198	1.275307163
58518.61893	11.10394416	1.289259296
58518.63976	11.10420906	1.303211429
58518.6606	11.10802029	1.317170261
58518.68143	11.11180225	1.331122394
58518.70226	11.11465542	1.345074527
58518.74393	11.12328175	1.372985492
58518.76477	11.12796191	1.386944323
58518.7856	11.13102085	1.400896456
58518.80643	11.13548366	1.414848589
58518.82727	11.15438603	1.428807421
58518.8481	11.20036294	1.442759554
58518.86893	11.25707335	1.456711687
58518.88977	11.31423188	1.470670519
58518.9106	11.34178892	1.484622652
58518.93143	11.34170979	1.498574785
58518.95227	11.34417891	1.512533617
58518.9731	11.32612736	1.52648575
58518.99393	11.27259212	1.540437883
58519.01477	11.21427699	1.554396714
58519.0356	11.16405165	1.568348848
58519.05644	11.1374269	1.582307679
58519.07727	11.13192282	1.596259812
58519.0981	11.12824358	1.610211946
58519.11894	11.12566795	1.624170777
58519.13977	11.12122369	1.63812291
58519.1606	11.11790239	1.652075043
58519.18144	11.11337217	1.666033875
58519.20227	11.11122612	1.679986008
58519.2231	11.10496176	1.693938141
58519.24394	11.10523752	1.707896973
58519.26477	11.10194354	1.721849106
58519.2856	11.10143603	1.735801239
58519.30644	11.10110839	1.749760071
58519.32727	11.10122464	1.763712204
58519.34811	11.10294868	1.777671035
58519.36894	11.10630942	1.791623168
58519.38977	11.11127945	0.805575302
58519.41061	11.11291271	0.819534133
58519.43144	11.11866464	0.833486266
58519.45227	11.12423128	0.8474384
58519.47311	11.12867706	0.861397231
58519.49394	11.13609464	0.875349364
58519.51477	11.13915472	0.889301497
58519.53561	11.14556505	0.903260329
58519.55644	11.15416407	0.917212462
58519.57727	11.18567638	0.931164595
58519.59811	11.25575657	0.945123427
58519.61894	11.34897474	0.95907556
58519.63977	11.44552787	0.973027693
58519.66061	11.49875076	0.986986524
58519.68144	11.50270547	1.000938658
58519.70228	11.49546359	1.014897489
58519.72311	11.43650976	1.028849622
58519.74394	11.33701153	1.042801756
58519.76478	11.24741755	1.056760587
58519.78561	11.18098011	1.07071272
58519.80644	11.15106146	1.084664853
58519.82728	11.14292609	1.098623685
58519.84811	11.13966922	1.112575818
58519.86894	11.13241215	1.126527951
58519.88978	11.12693336	1.140486783
58519.91061	11.12196673	1.154438916
58519.93144	11.11670106	1.168391049
58519.95228	11.11102347	1.182349881
58519.97311	11.10795648	1.196302014
58519.99395	11.10561946	1.210260845
58520.01478	11.10050622	1.224212978
58520.03561	11.10136204	1.238165112
58520.05645	11.10083368	1.252123943
58520.07728	11.10077029	1.266076076
58520.09811	11.10182722	1.28002821
58520.11895	11.102864	1.293987041
58520.13978	11.10539665	1.307939174
58520.16061	11.10998953	1.321891307
58520.18145	11.11281656	1.335850139
58520.20228	11.11708705	1.349802272
58520.22311	11.11964239	1.363754405
58520.24395	11.12517084	1.377713237
58520.26478	11.12779945	1.39166537
58520.28561	11.1332935	1.405617503
58520.30645	11.13831234	1.419576334
58520.32728	11.16755109	1.433528468
58520.34812	11.21851919	1.447487299
58520.36895	11.27984355	1.461439432
58520.38978	11.3289392	1.475391566
58520.41062	11.34232984	1.489350397
58520.43145	11.34464168	1.50330253
58520.45228	11.34061566	1.517254663
58520.47312	11.31077822	1.531213495
58520.49395	11.25170651	1.545165628
58520.53562	11.15343194	1.573076593
58520.55645	11.13479672	1.587028726
58520.57728	11.13301052	1.600980859
58520.59812	11.12698747	1.614939691
58520.61895	11.12453358	1.628891824
58520.63978	11.11847134	1.642843957
58520.66062	11.11829955	1.656802788
58520.68145	11.11183427	1.670754922
58520.70228	11.10947825	1.684707055
58520.72312	11.10701044	1.698665886
58520.74395	11.10432564	1.71261802
58520.76479	11.10055903	1.726576851
58520.78562	11.10130919	1.740528984
58520.80645	11.10029501	1.754481117
58520.82729	11.10133033	1.768439949
58520.84812	11.10393356	1.782392082
58520.86895	11.10670236	1.796344215
58520.88979	11.10964865	0.810303047
58520.91062	11.11444144	0.82425518
58520.93145	11.11966388	0.838207313
58520.95229	11.12729054	0.852166145
58520.97312	11.13107516	0.866118278
58520.99395	11.13654219	0.880070411
58521.01479	11.14241004	0.894029242
58521.03562	11.14782426	0.907981376
58521.05645	11.15996085	0.921933509
58521.07729	11.20644733	0.93589234
58521.09812	11.28581505	0.949844474
58521.11895	11.38181013	0.963796607
58521.13979	11.47390417	0.977755438
58521.16062	11.50252192	0.991707571
58521.18146	11.49978767	1.005666403
58521.20229	11.48305936	1.019618536
58521.22312	11.4027436	1.033570669
58521.24396	11.30417122	1.047529501
58521.26479	11.22094739	1.061481634
58521.28562	11.1651272	1.075433767
58521.30646	11.14755953	1.089392598
58521.32729	11.14381602	1.103344732
